"";"FranjaHoraria";"Dia";"Malo";"PrimerCredito";"MedioOrigen";"Sexo";"Edad";"EstadoCivil";"Region";"TipoConvenio";"RubroLaboral";"DeudaTC";"DeudaTC_cat";"AtrasoTC";"LimiteUtilizadoTC";"EstadoCuentaTC";"CantAtraso1mTC";"CantAtraso3mTC";"MaximoAtrasoTC";"TieneTC";"CapitalPrestado";"Cuotas";"MontoCuota";"MontoTotal";"ProgramaFidelidad";"PeorCalificacionBCU";"PeorCalificacionBCU_cat";"MejorCalificacionBCU";"MejorCalificacionBCU_cat";"PromedioCalificacionBCU";"DeudaVigenteBCU";"ContingenciasBCU";"PrevisionesBCU";"DeudaMorosaBCU";"DeudaCastigadaBCU";"CantidadInstitucionesBCU";"FueDenegadoAnteriormente";"DiasUltDenegacion";"ContOutBoundCobranza";"ContactosInBound";"DeudaCreditos";"CantCredAtraso0";"CantCredAtrasoMedio";"CantCredAtrasoMayor";"CantCuotasAtraso";"CantCuotasAbiertas";"MontoCreditosAbiertos";"MontoAPagarMensual"
"1";"Horas-Trabajo";"Lunes";"1";"Nuevo";"Web";"Mujer";28;"Casado";"MVDNoroeste";"Sin Convenio";"AgroYLimpieza";-0,203953918967635;"Sin deudas";0;111,38;"Activa";0;0;8;"1";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;5584,49006715085;1864,39607942106;85,5192688180314;0;0;2;"0";0;0;1;0;0;0;0;0;0;0;0
"2";"Horas-Trabajo";"Martes";"0";"Nuevo";"Web";"Hombre";24;"Casado";"Sin Identificar";"Sin Convenio";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";927,063268034704;7;201,385412211549;1409,69704068991;"0";"1C";"1C";"1C";"1C";1;26797,1229995595;0;133,979183496375;0;0;2;"0";0;0;1;0;0;0;0;0;0;0;0
"3";"Horas-Trabajo";"Martes";"0";"Nuevo";"Web";"Hombre";68;"Casado";"Sin Identificar";"Sin Convenio";"Otros";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1390,59490205206;11;225,279302326044;2478,07256267115;"0";"1C";"1C";"1C";"1C";1;4007,06642234993;0;20,0361548804;0;0;1;"1";131;0;1;0;0;0;0;0;0;0;0
"4";"Horas-Trabajo";"Martes";"0";"Nuevo";"Web";"Hombre";54;"Casado";"DptoEste1";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"5";"Otros";"3";"Otros";5;19516,5498246156;504,639936980181;3334,22012601754;0;3259,08628345966;2;"0";0;0;0;0;0;0;0;0;0;0;0
"5";"Horas-Dormir";"Miércoles";"1";"Nuevo";"Web";"Hombre";39;"Casado";"Sin Identificar";"Sin Convenio";"Otros";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"1C";"1C";"1C";"1C";1;1048,71714538256;4193,8951650988;26,2127139036813;0;0;1;"1";1062;0;0;0;0;0;0;0;0;0;0
"6";"Horas-Dormir";"Miércoles";"1";"Nuevo";"Web";"Hombre";44;"Soltero";"Canelones";"Sin Convenio";"PublicosYOngs";-0,00695297451026028;"Sin deudas";0;83,65;"Activa";0;0;0;"1";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;19474,2062098481;2713,02979498003;110,879084515121;0;0;4;"1";153;0;2;0;0;0;0;0;0;0;0
"7";"Horas-Dormir";"Miércoles";"1";"Nuevo";"Web";"Mujer";30;"Otros";"DptoEste2";"Sin Convenio";"Educacion";1140,0931363964;"Con deudas";0;105,66;"Activa";0;0;15;"1";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"5";"Otros";"3";"Otros";4;80106,176525533;6685,84586489242;14568,1225009797;0;3153,04415154551;4;"1";163;0;5;0;0;0;0;0;0;0;0
"8";"Horas-Trabajo";"Miércoles";"0";"Nuevo";"Web";"Hombre";36;"Casado";"Sin Identificar";"Alianza";"Educacion";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"1C";"1C";1;86616,2905949949;7994,3029613966;498,080964358836;0;0;7;"1";346;0;1;0;0;0;0;0;0;0;0
"9";"Horas-Trabajo";"Miércoles";"0";"Nuevo";"Web";"Mujer";41;"Casado";"DptoEste2";"Sin Convenio";"JubiladosYPensionistas";-0,057941454252169;"Sin deudas";0;92,4;"Activa";0;0;0;"1";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"4";"Otros";"1C";"1C";2;8608,37576419377;33,7705971963342;637,685104234012;0;0;3;"1";117;0;1;0;0;0;0;0;0;0;0
"10";"Horas-Trabajo";"Miércoles";"1";"Nuevo";"Web";"Hombre";45;"Otros";"Sin Identificar";"Sin Convenio";"ServiciosVarios";1704,15087588309;"Con deudas";208;106,65;"Cancelada";2;4;190;"1";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"5";"Otros";"3";"Otros";5;4128,76897051936;0;2317,14133231483;2313,31951399236;0;2;"1";471;0;0;0;0;0;0;0;0;0;0
"11";"Horas-Trabajo";"Miércoles";"0";"Nuevo";"Web";"Hombre";29;"Casado";"Sin Identificar";"Sin Convenio";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"5";"Otros";"3";"Otros";5;0;1183,3730850646;201,172729163531;452,538981316631;828,201241131483;3;"1";41;0;1;0;0;0;0;0;0;0;0
"12";"Horas-Trabajo";"Miércoles";"1";"Nuevo";"Web";"Hombre";34;"Casado";"DptoNorte";"Sin Convenio";"PublicosYOngs";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1390,59490205206;10;238,234804967231;2382,34864493022;"0";"5";"Otros";"5";"Otros";6;0;0;0;0;1902,32919069087;1;"1";208;0;2;0;0;0;0;0;0;0;0
"13";"Horas-Trabajo";"Lunes";"0";"Nuevo";"Web";"Hombre";38;"Casado";"Sin Identificar";"Sin Convenio";"Educacion";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"1C";"1C";"1C";"1C";1;8495,2068334066;0;42,4571800178194;0;0;1;"1";588;0;1;0;0;0;0;0;0;0;0
"14";"Horas-Trabajo";"Martes";"0";"Nuevo";"Web";"Hombre";67;"Otros";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1854,12653606941;7;392,776659149467;2749,43556951575;"0";"1C";"1C";"1C";"1C";1;125908,940147378;7608,32248740852;112,633551749876;0;0;6;"0";0;0;0;0;0;0;0;0;0;0;0
"15";"Horas-Trabajo";"Martes";"1";"Nuevo";"Web";"Hombre";47;"Casado";"Sin Identificar";"Sin Convenio";"AdmYServDomestico";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"3";"Otros";"1C";"1C";2;23284,0491925564;1853,55870981774;1002,70004241549;0;0;5;"0";0;0;0;0;0;0;0;0;0;0;0
"16";"Horas-Trabajo";"Martes";"0";"Nuevo";"Web";"Hombre";52;"Casado";"Sin Identificar";"Sin Convenio";"Otros";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"5";"Otros";6;0;0;0;0;1311,5627584521;1;"1";210;0;1;0;0;0;0;0;0;0;0
"17";"Horas-Casa";"Martes";"0";"Nuevo";"Web";"Hombre";68;"Casado";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;26374,699668505;3253,11831367169;148,137757257435;0;0;5;"1";59;0;0;0;0;0;0;0;0;0;0
"18";"Horas-Casa";"Martes";"0";"Renovacion";"Web";"Hombre";39;"Otros";"MVDNoroeste";"Sin Convenio";"Industria";7722,99557834808;"Con deudas";54;118,19;"Bloqueada";6;0;38;"1";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"2B";"Otros";"1C";"1C";1;13174,5934436843;0;275,442085223961;0;0;4;"1";350;0;0;0;0;0;0;0;0;0;0
"19";"Horas-Dormir";"Miércoles";"0";"Nuevo";"Web";"Hombre";38;"Casado";"Sin Identificar";"Alianza";"SupermercadosYMas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;7;584,167891941522;4089,1740983416;"0";"5";"Otros";"5";"Otros";6;0;0;0;0;1539,74547592982;1;"0";0;0;0;0;0;0;0;0;0;0;0
